Name,Company_Name,Employee_Job_Title,Employee_City,Employee_Country,Employee_Salary,Employment_Status,Employee_Rating,Credits
Austin Kennedy,Marshall-Holloway,Ergonomist,Whiteside,Hungary,640290,Intern,3.7,4
Regina Jacobs,Andrade LLC,Actuary,Ricardomouth,United States of America,75280,Full Time,3.0,5
Paul Hernandez,"Campos, Reynolds and Mccormick",Ergonomist,Aliciafort,Korea,189790,Full Time,4.8,3
Kristin Hunter,Nichols-James,Optometrist,West Jamesview,Rwanda,692920,Full Time,1.0,4
Kristen Harrington,James and Sons,Sales promotion account executive,Kristaburgh,United States of America,446790,Full Time,4.6,2
Melissa Skinner,"Campos, Reynolds and Mccormick",Ergonomist,New Russellton,Ethiopia,883650,Full Time,3.3,4
Roger Edwards,Thomas-Spencer,Armed forces logistics/support/administrative officer,Whitakerbury,Lithuania,416800,Full Time,4.8,1
Raymond Hernandez,Thomas-Spencer,Sales promotion account executive,New Russellton,Greenland,889470,Intern,2.5,4
Samuel Perry,Thomas-Spencer,Ergonomist,Aliciafort,Namibia,846950,Full Time,0.4,1
Megan Dominguez,"White, Mcclain and Cobb",Diplomatic Services operational officer,North Melissafurt,Saint Kitts and Nevis,28960,Intern,0.2,5
Larry Griffin,Thomas-Spencer,Patent examiner,North Melissafurt,Kenya,641430,Full Time,0.4,1
Victoria Kim,"Baker, Allen and Edwards",Diplomatic Services operational officer,Whitakerbury,Bermuda,684140,Full Time,1.9,5
Victor Garcia,Marshall-Holloway,Make,North Melissafurt,Slovakia (Slovak Republic),861460,Full Time,0.9,5
Jennifer Gonzales,"Wallace, Smith and Shepard",Diplomatic Services operational officer,Ricardomouth,Bosnia and Herzegovina,966420,Full Time,2.6,1
Matthew Perkins,Scott Inc,Sales promotion account executive,West Jamesview,Romania,84100,Full Time,3.2,4
Teresa Vazquez,"Campos, Reynolds and Mccormick",Actuary,Whiteside,Belarus,58690,Full Time,2.3,2
Sydney Kerr,Bullock-Carrillo,Diplomatic Services operational officer,Ricardomouth,Montserrat,267340,Full Time,2.1,3
Mike Hubbard,Thomas-Spencer,Energy manager,Whiteside,Turks and Caicos Islands,645610,Full Time,4.2,4
Daniel Mccarthy,"Baker, Allen and Edwards",Optometrist,Whitakerbury,Macao,84820,Intern,2.5,3
Christy Padilla,Nelson-Li,Patent examiner,Ricardomouth,Namibia,618060,Full Time,2.2,2
John Edwards,Taylor-Ramos,Actuary,New Russellton,Gibraltar,932250,Full Time,3.4,5
Brandon Martinez,James and Sons,Diplomatic Services operational officer,Whitakerbury,Pakistan,886900,Full Time,4.6,4
David Rivera,Matthews Inc,Make,Kristaburgh,Sao Tome and Principe,381700,Full Time,2.8,4
Samantha Lynch,Scott Inc,Actuary,New Cindychester,Micronesia,286450,Full Time,3.3,4
Jared Martinez,"Campos, Reynolds and Mccormick",Armed forces logistics/support/administrative officer,Aliciafort,Namibia,296410,Full Time,3.7,3
Levi Evans,"Wallace, Smith and Shepard",Sales promotion account executive,Kristaburgh,Georgia,42860,Full Time,3.5,1
Richard Sutton,Thomas-Spencer,Trading standards officer,Aliciafort,Niue,158270,Full Time,4.9,2
Gilbert Adkins,Nelson-Li,Regulatory affairs officer,Ricardomouth,Montenegro,963570,Full Time,0.5,1
Sarah Blackwell,"White, Mcclain and Cobb",Patent examiner,West Jamesview,Iran,229960,Intern,0.9,3
Jesse Clayton,James and Sons,Sales promotion account executive,North Melissafurt,Cape Verde,464610,Full Time,2.0,3
Jonathon Campbell,Thomas-Spencer,Diplomatic Services operational officer,North Melissafurt,Guyana,103530,Full Time,4.5,5
Allison Orozco,"Campos, Reynolds and Mccormick",Administrator,New Russellton,Peru,505750,Intern,4.3,4
Amber Liu,Scott Inc,Production engineer,Whiteside,Ecuador,442520,Intern,1.5,4
Alan Gilbert,"Campos, Reynolds and Mccormick",Garment/textile technologist,Kristaburgh,Rwanda,419760,Intern,4.2,1
John Day,Nelson-Li,"Radiographer, therapeutic",West Jamesview,Northern Mariana Islands,904140,Full Time,3.9,3
Jennifer Yates,James and Sons,Retail merchandiser,New Russellton,Cameroon,144390,Full Time,3.3,2
Jill Valdez,Nelson-Li,Garment/textile technologist,Kristaburgh,Suriname,469000,Full Time,1.7,2
April Clark,James and Sons,Patent examiner,New Russellton,Benin,836810,Full Time,0.0,2
James Torres,"Baker, Allen and Edwards",Naval architect,Wardfort,Turks and Caicos Islands,891980,Full Time,0.3,1
Alexis Burton,Thomas-Spencer,Energy manager,New Cindychester,Benin,897540,Full Time,3.7,3
Nicholas Schwartz,James and Sons,Diplomatic Services operational officer,Whiteside,Estonia,768400,Full Time,1.0,3
Jessica Donovan,Nelson-Li,Production engineer,Ricardomouth,Croatia,374380,Full Time,3.1,5
Shannon Johns,Scott Inc,Diplomatic Services operational officer,New Cindychester,Uganda,119000,Full Time,4.2,2
Brian Doyle,"Baker, Allen and Edwards",Naval architect,Whiteside,Uganda,431890,Full Time,3.4,2
Robert Maynard,"Baker, Allen and Edwards",Equities trader,Whitakerbury,Guatemala,111460,Full Time,2.0,4
Heather Warner,Taylor-Ramos,Diplomatic Services operational officer,North Melissafurt,Azerbaijan,5790,Full Time,2.3,3
Carlos Hunt,Nelson-Li,Make,New Cindychester,Lao People's Democratic Republic,822510,Full Time,0.8,2
Joe Nelson,Thomas-Spencer,Sales promotion account executive,New Cindychester,Luxembourg,191790,Full Time,2.5,4
Robert Gilbert,Bullock-Carrillo,"Investment banker, corporate",New Russellton,Mexico,758850,Intern,4.3,5
Timothy Powell,Scott Inc,Garment/textile technologist,New Russellton,Guatemala,360050,Full Time,0.0,3
Laura Fischer,Andrade LLC,Sales promotion account executive,West Jamesview,Anguilla,633180,Full Time,1.5,5
Nathaniel Stewart,Bullock-Carrillo,Actuary,Whiteside,Chad,698410,Full Time,4.5,2
Jenna Wilson,"Johnston, Fleming and Tanner",Diplomatic Services operational officer,New Cindychester,Uruguay,516830,Intern,0.0,4
Rachel Thomas,"Johnston, Fleming and Tanner",Equities trader,Kristaburgh,Palau,703290,Full Time,1.9,4
Matthew Juarez,Taylor-Ramos,Sales promotion account executive,Wardfort,Haiti,274960,Intern,4.5,2
Stephanie Lee,"White, Mcclain and Cobb",Ergonomist,New Cindychester,Ireland,291060,Full Time,4.6,2
Holly Schwartz,Thomas-Spencer,Patent examiner,Wardfort,Reunion,333620,Intern,4.2,2
Daniel Roman,Scott Inc,Energy manager,Whiteside,Antigua and Barbuda,406200,Full Time,4.4,5
George Wade,"White, Mcclain and Cobb",Make,New Russellton,Brazil,693370,Full Time,3.9,5
Christopher Moon,Bullock-Carrillo,Optometrist,Whitakerbury,Hungary,861640,Intern,2.8,5
Douglas Wilson,"White, Mcclain and Cobb",Sales promotion account executive,Whitakerbury,Iceland,778380,Full Time,3.8,3
Jesse Gutierrez,Matthews Inc,Retail merchandiser,West Jamesview,Lesotho,237300,Full Time,2.3,2
Tracy Kirk,Nichols-James,Regulatory affairs officer,Aliciafort,Sierra Leone,1880,Full Time,0.3,2
Wendy Harris,"Johnston, Fleming and Tanner","Radiographer, therapeutic",Whiteside,Uruguay,540910,Full Time,4.0,1
Justin Willis,Taylor-Ramos,Equities trader,Whiteside,Lithuania,890830,Intern,0.6,3
Jon Smith,Nelson-Li,Equities trader,Ricardomouth,Moldova,855050,Full Time,0.9,1
Robert Holland,Marshall-Holloway,Sales promotion account executive,Ricardomouth,Syrian Arab Republic,545120,Full Time,1.0,4
Sherri Anderson,Marshall-Holloway,Production engineer,Whitakerbury,Sri Lanka,193340,Full Time,0.2,2
Anthony Williams,Nelson-Li,Trading standards officer,Ricardomouth,Guam,726280,Intern,1.1,2
Jennifer Cross,Andrade LLC,Patent examiner,Wardfort,Austria,180250,Full Time,4.7,4
Christina Weaver,"Baker, Allen and Edwards",Armed forces logistics/support/administrative officer,New Cindychester,Singapore,149870,Full Time,1.6,2
April Sosa,Thomas-Spencer,Patent examiner,Kristaburgh,Botswana,675340,Intern,0.3,3
Charles Smith,Andrade LLC,"Radiographer, therapeutic",Whiteside,Malta,674170,Full Time,0.7,3
John Ellison,"Baker, Allen and Edwards","Radiographer, therapeutic",North Melissafurt,Cocos (Keeling) Islands,421900,Full Time,4.0,2
Javier Smith,Matthews Inc,Administrator,Ricardomouth,Timor-Leste,895980,Full Time,4.6,2
Tracy King,Bullock-Carrillo,Garment/textile technologist,New Cindychester,Nepal,755800,Full Time,2.1,4
Carol Price,Scott Inc,Ergonomist,Whiteside,Burundi,459370,Full Time,0.2,5
Ivan Hardin,"Baker, Allen and Edwards",Optometrist,Kristaburgh,Spain,559490,Full Time,0.5,3
Taylor Thomas,James and Sons,Sales promotion account executive,Whiteside,Cuba,517780,Full Time,3.3,3
Tyler Rasmussen,Andrade LLC,Equities trader,West Jamesview,Honduras,886070,Full Time,4.1,4
Kevin Mendoza,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,North Melissafurt,Equatorial Guinea,538170,Full Time,1.3,3
Patricia English,Marshall-Holloway,Retail merchandiser,Whitakerbury,Peru,689740,Full Time,1.6,1
Stuart Webb,James and Sons,Optometrist,New Russellton,Spain,269970,Intern,3.4,5
Linda Young,"White, Mcclain and Cobb",Retail merchandiser,Aliciafort,Togo,781550,Intern,0.5,5
Andrew Hill,Bullock-Carrillo,Garment/textile technologist,North Melissafurt,Antigua and Barbuda,749830,Full Time,2.5,2
Sarah Ball,Bullock-Carrillo,Ergonomist,Wardfort,South Georgia and the South Sandwich Islands,970310,Intern,1.3,4
Miranda Scott,Taylor-Ramos,Make,Wardfort,Italy,730700,Full Time,3.7,5
Troy Armstrong,Marshall-Holloway,Patent examiner,Wardfort,Tanzania,85310,Full Time,2.9,2
Julian Ball,Thomas-Spencer,Diplomatic Services operational officer,Ricardomouth,Ireland,196880,Full Time,2.4,3
Donna Henry,James and Sons,Production engineer,New Cindychester,Israel,473150,Full Time,0.8,1
Stephanie Perez,Bullock-Carrillo,Diplomatic Services operational officer,Whiteside,Central African Republic,893760,Full Time,2.7,3
Diana Mathews,"Baker, Allen and Edwards",Ergonomist,Aliciafort,Western Sahara,23130,Full Time,2.5,4
Robert Lynch,Scott Inc,Ergonomist,North Melissafurt,Somalia,2130,Full Time,3.4,3
Kathy Franklin,Nichols-James,Diplomatic Services operational officer,North Melissafurt,Western Sahara,677210,Intern,4.4,1
Eddie Alexander,"Campos, Reynolds and Mccormick",Naval architect,Ricardomouth,Afghanistan,881040,Intern,0.7,2
Kevin Winters,James and Sons,Administrator,Wardfort,Saudi Arabia,164890,Full Time,2.2,2
Diana Brown,Marshall-Holloway,"Investment banker, corporate",New Russellton,Ireland,212160,Full Time,2.8,2
Lauren Hahn,"White, Mcclain and Cobb",Trading standards officer,West Jamesview,Sierra Leone,402750,Intern,0.1,4
Rachel Mullins,Marshall-Holloway,Administrator,Kristaburgh,Dominica,545070,Full Time,3.8,4
Derrick Drake,"Campos, Reynolds and Mccormick",Energy manager,New Russellton,Dominican Republic,12940,Full Time,3.2,3
Frank Blackburn,Marshall-Holloway,Energy manager,Wardfort,Portugal,942090,Full Time,0.8,1
Olivia Tate,James and Sons,"Radiographer, therapeutic",Aliciafort,Macao,751020,Full Time,0.9,4
Caleb Cole,Bullock-Carrillo,Equities trader,New Cindychester,Qatar,795740,Full Time,1.8,5
Nathaniel Smith,"Wallace, Smith and Shepard",Make,Whitakerbury,Australia,181460,Intern,1.2,3
David Yates,Andrade LLC,Optometrist,Wardfort,Brazil,482950,Full Time,3.9,5
Adam Gilbert,Nichols-James,Optometrist,New Russellton,Greece,553060,Full Time,3.8,5
Maria Lawson,"Campos, Reynolds and Mccormick",Ergonomist,Aliciafort,Macao,753080,Full Time,2.4,5
Tiffany Harper,"Johnston, Fleming and Tanner",Naval architect,North Melissafurt,Korea,570460,Full Time,4.8,4
Jared Brooks,Bullock-Carrillo,Optometrist,New Russellton,Benin,993890,Full Time,0.6,4
Maria Mccarthy,"White, Mcclain and Cobb",Garment/textile technologist,Ricardomouth,Panama,813410,Full Time,1.2,5
Peter Martinez,Matthews Inc,Diplomatic Services operational officer,West Jamesview,Iran,905700,Intern,3.6,1
Shaun Weiss,Nichols-James,Ergonomist,New Russellton,Falkland Islands (Malvinas),799940,Full Time,3.2,3
Sarah Morgan,"Johnston, Fleming and Tanner",Retail merchandiser,Whiteside,Palau,881550,Full Time,4.0,5
Molly Brown,Nichols-James,Diplomatic Services operational officer,Whitakerbury,New Caledonia,923540,Intern,1.1,5
Austin Moore,Marshall-Holloway,Garment/textile technologist,Aliciafort,Libyan Arab Jamahiriya,189640,Full Time,3.7,3
Gregory Holmes,Nelson-Li,Retail merchandiser,New Cindychester,Bangladesh,580130,Full Time,0.4,4
Charles Cross,"White, Mcclain and Cobb",Garment/textile technologist,West Jamesview,Finland,674330,Full Time,4.3,5
Nicholas Sheppard,"Campos, Reynolds and Mccormick",Armed forces logistics/support/administrative officer,New Cindychester,Bhutan,374140,Full Time,0.2,5
Anna Smith,Taylor-Ramos,Regulatory affairs officer,New Russellton,Kiribati,323510,Full Time,2.5,5
Michelle Copeland,James and Sons,Equities trader,Ricardomouth,Angola,514889,Full Time,1.3,3
Shawn Hill,Bullock-Carrillo,Optometrist,North Melissafurt,Nigeria,889150,Full Time,1.4,4
Samuel Lopez,Nichols-James,Actuary,Wardfort,Saint Vincent and the Grenadines,30580,Full Time,4.3,4
Tara Oconnor,Marshall-Holloway,Ergonomist,Kristaburgh,Iceland,141630,Full Time,3.5,5
Helen Ortiz,Bullock-Carrillo,Patent examiner,Kristaburgh,Guinea-Bissau,528620,Full Time,0.4,3
Emily Cardenas,James and Sons,Naval architect,West Jamesview,Bangladesh,593270,Full Time,0.6,4
David Franklin,Thomas-Spencer,Optometrist,Whitakerbury,Papua New Guinea,222960,Full Time,0.1,1
Anthony Jones,Scott Inc,Optometrist,New Cindychester,Singapore,709700,Full Time,0.8,5
Joseph Mercer,Matthews Inc,Regulatory affairs officer,Kristaburgh,Brunei Darussalam,346820,Full Time,2.7,4
Susan Richardson,"Campos, Reynolds and Mccormick",Naval architect,New Russellton,Burkina Faso,608480,Full Time,2.4,4
Sheri Jackson,"White, Mcclain and Cobb",Patent examiner,Whiteside,Yemen,560720,Full Time,4.5,3
Samuel Fleming,Taylor-Ramos,Production engineer,Wardfort,Congo,988710,Full Time,1.6,1
Katrina Martinez,Matthews Inc,Actuary,New Russellton,Honduras,702200,Full Time,0.5,5
Cameron Short,Thomas-Spencer,Equities trader,Whitakerbury,Slovenia,450390,Full Time,1.7,5
Nicholas Dean,"Wallace, Smith and Shepard",Diplomatic Services operational officer,Ricardomouth,Finland,761280,Full Time,0.4,3
Jasmine Clark,"Wallace, Smith and Shepard",Equities trader,Whitakerbury,Netherlands Antilles,187370,Full Time,2.8,2
Brandi Walker,Scott Inc,Naval architect,Kristaburgh,South Georgia and the South Sandwich Islands,291850,Full Time,1.7,3
Julie Simmons,"Johnston, Fleming and Tanner",Trading standards officer,Aliciafort,Guinea,652970,Intern,0.5,5
Ellen Walker,Taylor-Ramos,Naval architect,Ricardomouth,Belarus,632390,Full Time,0.6,2
Julia Krause,Thomas-Spencer,"Radiographer, therapeutic",Aliciafort,Costa Rica,430810,Full Time,4.3,1
Nancy Hawkins,Thomas-Spencer,Trading standards officer,Ricardomouth,Falkland Islands (Malvinas),468380,Full Time,1.6,2
Lindsay Wilson,"Baker, Allen and Edwards",Ergonomist,Whiteside,Angola,41110,Intern,3.3,5
Clifford Walsh,"Wallace, Smith and Shepard",Optometrist,New Cindychester,Cape Verde,120150,Intern,2.7,1
Frederick Nguyen,Scott Inc,Sales promotion account executive,Kristaburgh,Guam,519109,Intern,1.8,1
Jennifer White,Nichols-James,Actuary,Whitakerbury,Cocos (Keeling) Islands,178410,Intern,1.0,4
Sandra Taylor,"Campos, Reynolds and Mccormick",Sales promotion account executive,Ricardomouth,Tonga,545600,Intern,2.8,2
Laura Barber,Marshall-Holloway,Diplomatic Services operational officer,New Cindychester,Greenland,579630,Intern,0.4,2
Sarah Smith,Marshall-Holloway,Naval architect,Aliciafort,Barbados,292580,Full Time,0.2,4
Jessica Robinson,Marshall-Holloway,Actuary,North Melissafurt,Kiribati,537160,Full Time,3.3,5
Rebecca Harvey,"Baker, Allen and Edwards",Equities trader,Whiteside,Palau,974350,Full Time,2.8,2
Michael Sandoval,Nelson-Li,Energy manager,Whitakerbury,Saint Pierre and Miquelon,803980,Intern,2.3,3
Meghan Diaz,"Campos, Reynolds and Mccormick",Patent examiner,New Russellton,Samoa,578920,Full Time,1.9,2
Stephanie Welch,"White, Mcclain and Cobb",Production engineer,New Russellton,Saint Vincent and the Grenadines,950870,Full Time,2.3,2
Kara Diaz,"Wallace, Smith and Shepard",Trading standards officer,New Cindychester,Austria,130149,Full Time,1.8,5
Tyler Roy,Taylor-Ramos,Sales promotion account executive,Kristaburgh,British Virgin Islands,889720,Full Time,2.8,3
Christopher Hunt,Taylor-Ramos,Patent examiner,Whitakerbury,Mayotte,969040,Full Time,2.8,4
Krystal Nunez,Matthews Inc,Equities trader,Whiteside,Heard Island and McDonald Islands,57750,Full Time,1.6,2
Robyn Allen,Bullock-Carrillo,Trading standards officer,Aliciafort,Myanmar,449760,Intern,4.8,5
Jodi Mejia,Bullock-Carrillo,Make,Ricardomouth,Kiribati,455970,Full Time,1.5,1
Katelyn Mclean,"Johnston, Fleming and Tanner",Administrator,Whiteside,Guadeloupe,25710,Full Time,1.7,3
Elizabeth Kelly,"White, Mcclain and Cobb",Retail merchandiser,Aliciafort,Belarus,959280,Full Time,0.5,4
Elizabeth Nielsen,Scott Inc,Regulatory affairs officer,Kristaburgh,Barbados,667250,Full Time,0.8,2
Melanie Goodwin,Matthews Inc,Sales promotion account executive,Kristaburgh,France,378320,Full Time,2.6,4
Antonio Alvarado,Scott Inc,Optometrist,Aliciafort,Saint Barthelemy,978030,Full Time,3.1,5
Christopher Powers,Scott Inc,Naval architect,Kristaburgh,Eritrea,721390,Full Time,1.2,3
Morgan Ayala,"Wallace, Smith and Shepard",Optometrist,West Jamesview,Liechtenstein,839260,Full Time,0.2,4
Joshua Guzman,"Wallace, Smith and Shepard",Administrator,Aliciafort,Sao Tome and Principe,734820,Full Time,4.4,3
William Esparza,"White, Mcclain and Cobb",Naval architect,Whiteside,Cook Islands,616620,Full Time,4.1,3
George Kane,Bullock-Carrillo,Patent examiner,West Jamesview,Netherlands,531010,Intern,0.4,1
Jennifer Thomas,"Wallace, Smith and Shepard",Diplomatic Services operational officer,New Cindychester,Hong Kong,43260,Full Time,1.3,3
Christopher Reed,Bullock-Carrillo,Energy manager,Aliciafort,Singapore,552590,Full Time,0.8,5
Crystal Weber,"White, Mcclain and Cobb",Diplomatic Services operational officer,New Russellton,Japan,736340,Intern,0.7,1
Tara Shepard,Bullock-Carrillo,Naval architect,Ricardomouth,Jamaica,20160,Full Time,2.6,4
Robert Fuentes,"Johnston, Fleming and Tanner",Equities trader,Whiteside,Hungary,279230,Full Time,1.1,1
Megan Clay,Andrade LLC,Energy manager,West Jamesview,Liechtenstein,743020,Full Time,2.0,1
Diane Avila,"Johnston, Fleming and Tanner",Make,Aliciafort,Guinea-Bissau,774060,Full Time,2.8,1
Kevin Bullock,Bullock-Carrillo,Diplomatic Services operational officer,West Jamesview,Finland,239420,Full Time,2.0,1
Kathryn Dominguez,"Baker, Allen and Edwards",Regulatory affairs officer,Whiteside,Vietnam,191450,Intern,4.7,3
Erica Stevenson,James and Sons,"Radiographer, therapeutic",New Cindychester,Uruguay,263990,Intern,4.5,5
Emily Walters,"Johnston, Fleming and Tanner",Naval architect,West Jamesview,Dominica,158550,Full Time,1.6,1
Angelica Shaw,James and Sons,Actuary,Aliciafort,Reunion,387970,Full Time,5.0,4
James Wilson,Thomas-Spencer,Regulatory affairs officer,West Jamesview,Lao People's Democratic Republic,800430,Full Time,0.6,3
Joshua Anderson,Scott Inc,Diplomatic Services operational officer,Aliciafort,Saint Martin,688850,Full Time,0.3,4
Alicia Phillips,Andrade LLC,Garment/textile technologist,Ricardomouth,Ghana,659340,Intern,3.4,3
Brandon Simpson,Marshall-Holloway,"Investment banker, corporate",Wardfort,Barbados,231670,Intern,0.4,2
Rachel Sandoval,Scott Inc,Ergonomist,Kristaburgh,Burkina Faso,914250,Full Time,4.8,3
Wendy Brooks,Thomas-Spencer,"Investment banker, corporate",Kristaburgh,New Zealand,143220,Full Time,3.7,4
Nicole Patel,"Campos, Reynolds and Mccormick",Diplomatic Services operational officer,New Russellton,Burkina Faso,468700,Full Time,2.5,3
Scott Kramer,Nelson-Li,Diplomatic Services operational officer,Whiteside,Cyprus,69550,Full Time,3.8,1
Kelly Young,Nelson-Li,Diplomatic Services operational officer,Wardfort,Western Sahara,996250,Full Time,3.3,3
Bonnie Anderson,Taylor-Ramos,Diplomatic Services operational officer,Whiteside,Mayotte,345230,Full Time,0.4,4
Shane Hays,"Johnston, Fleming and Tanner",Armed forces logistics/support/administrative officer,Wardfort,Jordan,762310,Full Time,2.6,4
Maria Parker,"Wallace, Smith and Shepard",Administrator,West Jamesview,Tajikistan,211580,Full Time,1.3,3
Gabriel Pierce,Scott Inc,Diplomatic Services operational officer,Kristaburgh,Libyan Arab Jamahiriya,553120,Full Time,1.1,4
Sarah Miller,"Johnston, Fleming and Tanner",Armed forces logistics/support/administrative officer,Kristaburgh,Iceland,246170,Full Time,2.6,4
Michael Collins,"White, Mcclain and Cobb",Energy manager,Kristaburgh,Haiti,85470,Full Time,4.2,3
Susan Johnson,Taylor-Ramos,Sales promotion account executive,West Jamesview,Georgia,622510,Full Time,3.6,4
Kevin Williams,Scott Inc,Optometrist,Whiteside,Kyrgyz Republic,800760,Full Time,4.4,4
Meredith Hoover,Andrade LLC,Ergonomist,New Cindychester,French Polynesia,262040,Full Time,2.5,4
Regina Chen,Scott Inc,Make,West Jamesview,Cayman Islands,468370,Full Time,3.1,3
William Jones,Taylor-Ramos,Retail merchandiser,North Melissafurt,Australia,352760,Full Time,0.8,4
Christopher Berry,Marshall-Holloway,Actuary,Ricardomouth,Norway,910820,Full Time,2.2,3
David Bryant,James and Sons,Regulatory affairs officer,Wardfort,Germany,142070,Full Time,3.6,4
Matthew Jackson,Andrade LLC,Make,Whitakerbury,Cocos (Keeling) Islands,361010,Full Time,1.5,3
Anna Hamilton,Thomas-Spencer,"Radiographer, therapeutic",New Russellton,Bahrain,403700,Full Time,3.3,2
Nicole Garcia,"Baker, Allen and Edwards",Diplomatic Services operational officer,North Melissafurt,Tuvalu,644890,Full Time,1.0,1
Daniel Alvarez,Scott Inc,Retail merchandiser,New Cindychester,Guam,482100,Full Time,4.6,1
Melissa Hayes,Bullock-Carrillo,Ergonomist,New Cindychester,Congo,226110,Full Time,0.7,1
Brittany Rodriguez,"Baker, Allen and Edwards",Trading standards officer,Wardfort,Nepal,588910,Full Time,1.7,2
Sean Marshall,James and Sons,Make,Whiteside,United States of America,451720,Full Time,3.3,4
Meghan Lewis,Bullock-Carrillo,Sales promotion account executive,New Cindychester,Guinea-Bissau,247970,Intern,3.0,2
Heather Turner,Matthews Inc,Equities trader,North Melissafurt,Niue,673780,Full Time,4.4,3
Richard Hamilton,"White, Mcclain and Cobb",Trading standards officer,Ricardomouth,Spain,242610,Full Time,0.0,4
Kimberly Jones,Nelson-Li,Ergonomist,Wardfort,Barbados,548090,Full Time,0.0,1
Jacob Miranda,"White, Mcclain and Cobb",Garment/textile technologist,Whitakerbury,Thailand,927520,Full Time,4.1,1
Michelle Taylor,Taylor-Ramos,Retail merchandiser,West Jamesview,Luxembourg,507229,Full Time,1.8,2
Andrew Perry,Scott Inc,Production engineer,Ricardomouth,Montenegro,176910,Full Time,2.4,3
Kyle Smith,Nichols-James,Make,West Jamesview,Puerto Rico,687460,Full Time,4.5,1
Amanda Gilmore,Nelson-Li,Sales promotion account executive,Whiteside,Saint Lucia,368630,Full Time,1.8,2
Cody Figueroa,Marshall-Holloway,Retail merchandiser,North Melissafurt,Luxembourg,386190,Full Time,0.7,3
Rebecca Gomez,Bullock-Carrillo,Diplomatic Services operational officer,West Jamesview,Botswana,690500,Intern,1.8,1
Christopher Kelly,"White, Mcclain and Cobb",Trading standards officer,Kristaburgh,Tajikistan,470,Full Time,2.2,4
Tracy Wilkins,Matthews Inc,Retail merchandiser,Kristaburgh,Chile,651890,Intern,0.4,1
Christina Jackson,James and Sons,Patent examiner,Wardfort,Brazil,841600,Full Time,2.3,2
Caleb Young,Taylor-Ramos,Energy manager,Wardfort,Spain,667320,Full Time,1.6,3
John Ferguson,"Wallace, Smith and Shepard","Investment banker, corporate",Whiteside,Gambia,493210,Full Time,0.6,5
Robert Mullen,Marshall-Holloway,Trading standards officer,Whitakerbury,Central African Republic,900970,Full Time,2.7,1
Kayla Doyle,Marshall-Holloway,Equities trader,New Russellton,Norfolk Island,356080,Full Time,2.6,1
Jeffrey Hall,Marshall-Holloway,Patent examiner,West Jamesview,Mongolia,377360,Full Time,3.6,4
Kayla Liu,Marshall-Holloway,Armed forces logistics/support/administrative officer,North Melissafurt,Pakistan,525100,Full Time,3.0,5
Andrea Gomez,Taylor-Ramos,Administrator,Whitakerbury,Thailand,976640,Full Time,0.7,1
Michael Hamilton,Nichols-James,Armed forces logistics/support/administrative officer,New Russellton,Malta,484340,Intern,3.4,1
Patricia Jacobs,Marshall-Holloway,Administrator,New Russellton,Trinidad and Tobago,695950,Full Time,2.4,4
Louis Barrett,Andrade LLC,Production engineer,West Jamesview,Australia,735910,Full Time,3.6,2
Monica Lara,Bullock-Carrillo,Make,Whitakerbury,Moldova,614280,Full Time,0.1,4
Nicholas Stout,Nelson-Li,"Radiographer, therapeutic",New Cindychester,Panama,690780,Full Time,2.4,5
Alexander Castro,"Baker, Allen and Edwards",Production engineer,Aliciafort,Congo,764230,Intern,0.5,3
Rebecca Dean,"Johnston, Fleming and Tanner",Sales promotion account executive,New Cindychester,Saint Barthelemy,718240,Intern,4.9,2
Joseph Harris,Andrade LLC,Energy manager,Aliciafort,Guinea,565240,Full Time,0.8,5
Anthony Murphy,Thomas-Spencer,Diplomatic Services operational officer,Aliciafort,Somalia,252780,Intern,4.2,2
Christina Ayala,"Baker, Allen and Edwards",Trading standards officer,North Melissafurt,Korea,561350,Intern,0.7,4
Mark Chambers,James and Sons,"Radiographer, therapeutic",New Russellton,Mongolia,961400,Full Time,1.5,1
Kenneth Mercado,Thomas-Spencer,Diplomatic Services operational officer,Aliciafort,Sao Tome and Principe,815620,Full Time,1.6,1
Jeffrey Petty,Bullock-Carrillo,Ergonomist,Ricardomouth,Germany,812150,Full Time,2.1,1
Todd Pierce,Nelson-Li,Naval architect,Wardfort,Honduras,15210,Full Time,1.4,4
Ethan Rogers,"Campos, Reynolds and Mccormick","Radiographer, therapeutic",Aliciafort,Malawi,995520,Intern,1.8,2
Judith Jones,"Baker, Allen and Edwards",Naval architect,Aliciafort,Gabon,357320,Full Time,3.9,3
Tamara Lang,"Johnston, Fleming and Tanner",Regulatory affairs officer,New Russellton,Portugal,86620,Full Time,4.6,1
Derek Perez,Matthews Inc,Administrator,New Russellton,Yemen,509669,Full Time,1.5,5
Wendy Irwin,Thomas-Spencer,"Radiographer, therapeutic",New Cindychester,Poland,716700,Full Time,3.9,2
Alicia Walker,"Campos, Reynolds and Mccormick","Radiographer, therapeutic",North Melissafurt,Turks and Caicos Islands,554760,Full Time,4.9,2
Rita Garcia,Marshall-Holloway,Ergonomist,Aliciafort,Bermuda,738210,Full Time,1.6,3
Lisa Carpenter,Thomas-Spencer,Retail merchandiser,West Jamesview,Zambia,197330,Full Time,0.1,3
Scott Lucas,James and Sons,Regulatory affairs officer,New Cindychester,South Georgia and the South Sandwich Islands,213150,Full Time,4.6,1
